,band_name,fans,formed,origin,split,style
3637,"Mindfeeder",4,2003,"Portugal",2003,"Heavy,Power"
3638,"Misteyes",4,2012,"Italy",-,"Melodic death,Gothic,Symphonic"
3639,"Mondstille",4,2004,"Austria",2004,"Avantgarde black"
3640,"Morhana",4,2006,"Poland",-,"Folk"
3641,"Mortuus",4,2003,"Sweden",2003,"Black"
3642,"Mourning Mist",4,2013,"Italy",-,"Blackened doom,Avantgarde doom"
3643,"Naïve",4,2007,"France",2007,"Alternative,Trip-,Hop"
3644,"Nachtvorst",4,2007,"The Netherlands",-,"Black"
3645,"Nadiwrath",4,2007,"Greece",2007,"Black"
3646,"Nailed To Obscurity",4,2005,"Germany",-,"Death doom"
3647,"Narcotic Wasteland",4,2011,"USA",2011,"Death"
3648,"Necronoclast",4,2003,"United Kingdom",-,"Black"
3649,"Neoheresy",4,2014,"Poland",2014,"Pagan black,Symphonic black"
3650,"Neosis",4,2010,"Switzerland",-,"Progressive math"
3651,"Nocturnal Fear",4,2000,"USA",2000,"Death,Thrash"
3652,"Nordor",4,1989,"Greece",-,"Death"
3653,"Nova Era",4,2008,"Mexico",2008,"Power"
3654,"Old Forest",4,1998,"United Kingdom",-,"Black"
3655,"Old Season",4,2003,"Ireland",2003,"Heavy"
3656,"Osmi Putnik",4,1985,"Croatia",-,"Heavy"
3657,"Panndora",4,2000,"Brazil",2000,"Heavy"
3658,"Parricide",4,1990,"Poland",-,"Death,Brutal death,Grindcore"
3659,"Persian Risk",4,1979,"United Kingdom",1979,"New wave of british heavy,Heavy"
3660,"Phaze I",4,2005,"France",-,"Progressive black,Thrash"
3661,"Phosphorus",4,2007,"Canada",2007,"Black,Thrash"
3662,"Pilgrim",4,2010,"USA",-,"Doom"
3663,"Pissing Razors",4,1994,"USA",1994,"Groove thrash"
3664,"Posthuman",4,2007,"The Netherlands",2010,"Melodic death"
3665,"Preternatural",4,1999,"Latvia",1999,"Melodic death"
3666,"Pyogenesis",4,1989,"Germany",-,"Death,Gothic doom,Alternative rock,Punk rock"
3667,"Q5",4,1983,"USA",1983,"Hard rock,Heavy"
3668,"Quartz",4,1974,"United Kingdom",-,"New wave of british heavy,Heavy"
3669,"Rage Nucléaire",4,2006,"Canada",2006,"Industrial black,Melodic black"
3670,"Rage Of Romance",4,2010,"Greece",-,"Power,Progressive"
3671,"Raglaia",4,2015,"Japan",2015,"Heavy,Speed"
3672,"Railway",4,1977,"Germany",-,"Heavy"
3673,"Ramming Speed",4,2005,"USA",2005,"Death,Thrash,Crossover thrash"
3674,"Ripper",4,2007,"Chile",-,"Thrash,Death"
3675,"Scarleth",4,2005,"Ukraine",2005,"Symphonic power,Gothic"
3676,"Scars Of Chaos",4,1997,"France",-,"Symphonic black"
3677,"Schizoid Lloyd",4,2007,"The Netherlands",2007,"Progressive,Avantgarde"
3678,"Sepsism",4,1990,"USA",-,"Death"
3679,"Serenity Broken",4,2010,"Greece",2010,"Alternative,Hard rock"
3680,"Serpentine Dominion",4,2011,"USA",-,"Death"
3681,"Shadowkeep",4,1999,"United Kingdom",1999,"Progressive,Power"
3682,"Shah",4,1985,"Russia",1996,"Thrash"
3683,"Shatter Messiah",4,2005,"USA",2005,"Us power,Thrash"
3684,"Shepherd",4,2011,"India",-,"Sludge,Hard rock"
3685,"Shepherds Of Cassini",4,2012,"New Zealand",2012,"Post-metal,Progressive rock"
3686,"Shok Paris",4,1982,"USA",-,"Heavy,Speed"
3687,"Sin7sinS",4,2007,"The Netherlands",2007,"Gothic,Gothic rock"
3688,"Slash's Snakepit",4,1995,"USA",2001,"Hard rock,Blues rock"
3689,"Speed\Kill/Hate",4,2002,"USA",2002,"Thrash"
3690,"Spheron",4,2007,"Germany",-,"Death"
3691,"Sportlov",4,2000,"Sweden",2000,"Black"
3692,"Squash Bowels",4,1994,"Poland",-,"Goregrind"
3693,"Star Queen",4,2001,"Bulgaria",2001,"Symphonic power,Symphonic gothic"
3694,"Stormhammer",4,1993,"Germany",-,"Power"
3695,"Stride",4,1996,"USA",1996,"Progressive,Progressive rock"
3696,"Strikelight",4,1999,"Greece",-,"Heavy"
3697,"Sworn (ARM)",4,2005,"Armenia",2005,"Symphonic black"
3698,"Symphonic Destiny",4,2014,"Serbia",-,"Symphonic"
3699,"Tacoma Narrows Bridge Disaster",4,2008,"United Kingdom",2008,"Post-,Rock ,Post-metal"
3700,"Teethgrinder",4,2013,"The Netherlands",-,"Grindcore"
3701,"The 3rd Attempt",4,2014,"Norway",2014,"Black"
3702,"The Infernal Sea",4,2010,"United Kingdom",-,"Black"
3703,"The Kill",4,2000,"Australia",2000,"Grindcore"
3704,"The Moaning",4,1994,"Sweden",1997,"Melodic death"
3705,"The Old Wind",4,2013,"Sweden",2013,"Post-metal"
3706,"The Ritual Aura",4,2015,"Australia",-,"Progressive death,Technical death"
3707,"The Scourger",4,2003,"Finland",2003,"Thrash"
3708,"The Ugly",4,2004,"Sweden",-,"Black"
3709,"Third Ion",4,2010,"Canada",2010,"Progressive"
3710,"This Gift Is A Curse",4,2008,"Sweden",-,"Black,Sludge,Hardcore"
3711,"Thormesis",4,2006,"Germany",2006,"Pagan black"
3712,"Thy Wicked",4,2000,"Germany",-,"Pagan black,Folk"
3713,"Total Devastation",4,1998,"Finland",1998,"Industrial death"
3714,"Undergang",4,2008,"Denmark",-,"Death"
3715,"Ur Draugr",4,2014,"Australia",2014,"Blackened death"
3716,"Vagrant God",4,2007,"Norway",-,"Gothic"
3717,"Vainaja",4,2011,"Finland",2011,"Death doom"
3718,"Valkyrie",4,2002,"USA",-,"Doom,Heavy"
3719,"Violet Cold",4,2013,"Azerbaijan",2013,"Shoegaze"
3720,"Visceral Throne",4,2009,"USA",-,"Brutal death"
3721,"Volture",4,2008,"USA",2008,"Heavy"
3722,"Vortech",4,2000,"Finland",-,"Industrial,Death"
3723,"Vulturium Memoriae",4,2006,"Italy",2006,"Avantgarde doom,Drone"
3724,"Weekend Nachos",4,2004,"USA",2016,"Grindcore,Hardcore,Punk"
3725,"Westfield Massacre",4,2014,"USA",2014,"Metalcore,Melodic death"
3726,"Whispering Woods",4,2008,"Romania",-,"Gothic doom"
3727,"Wild Throne",4,2013,"USA",2013,"Progressive"
3728,"Winterlong",4,1998,"Sweden",-,"Power,Progressive"
3729,"Wolfsbane",4,1984,"United Kingdom",1984,"Glam,Heavy,Hard rock"
3730,"Wormreich",4,2009,"USA",-,"Black"
3731,"Worms Of Sabnock",4,2003,"United Kingdom",2003,"Melodic black"
3732,"Wound",4,2011,"Germany",-,"Death"
3733,"Xibalba (USA)",4,2007,"USA",2007,"Death,Hardcore"
3734,"Xul",4,2008,"Canada",-,"Blackened death"
3735,"Xysma",4,1988,"Finland",1988,"Grindcore,Death ',N',Roll ,Hard rock,Rock"
3736,"Yonder Realm",4,2009,"USA",-,"Folk"
3737,"Église",3,2011,"Denmark",2011,"Post-metal,Hardcore"
3738,"(V.E.G.A.)",3,1998,"Italy",-,"Industrial black"
3739,"2 Ton Predator",3,1993,"Sweden",1993,"Thrash"
3740,"24-7 Spyz",3,1986,"USA",-,"Alternative,Funk rock,Crossover thrash"
3741,"A Pregnant Light",3,2009,"USA",2009,"Black,Post-metal,Hardcore"
3742,"A.I.(d)",3,2010,"France",-,"Djent"
3743,"A.M.S.G.",3,2007,"Canada",2007,"Black"
3744,"Abaddon Incarnate",3,1994,"Ireland",-,"Grindcore,Death"
3745,"Abaton",3,2009,"Italy",2009,"Doom,Black"
3746,"Ad Inferna",3,2000,"France",2015,"Symphonic black,Gothic,Electro industrial"
3747,"Aenygmist",3,2007,"Canada",2007,"Melodic black"
3748,"Ah Ciliz",3,2008,"USA",-,"Atmospheric black,Depressive black"
3749,"Aleph",3,1998,"Italy",1998,"Death,Thrash,Progressive"
3750,"AnachroniA",3,2000,"France",-,"Gothic,Melodic progressive"
3751,"Anal Stench",3,2001,"Poland",2001,"Death"
3752,"Angmar",3,2002,"France",-,"Black"
3753,"Anima Damnata",3,1996,"Poland",1996,"Black,Death"
3754,"Antipope",3,2004,"Finland",-,"Black,Progressive black,Extreme progressive"
3755,"Aphonic Threnody",3,2012,"United Kingdom",2012,"Funeral doom"
3756,"Apostle Of Solitude",3,2004,"USA",-,"Doom"
3757,"Archon",3,2008,"USA",2008,"Psychedelic doom,Sludge,Stoner"
3758,"As We Fight",3,2001,"Denmark",2011,"Metalcore"
3759,"Asmodeus (AUT)",3,1996,"Austria",1996,"Black"
3760,"Assailant",3,2004,"Sweden",-,"Progressive power"
3761,"At The Lake",3,2005,"Poland",2005,"Symphonic folk"
3762,"Atrament",3,2014,"USA",-,"Black,Crust,Punk"
3763,"Atrorum",3,1998,"Germany",1998,"Avantgarde black"
3764,"Auspex",3,2001,"France",-,"Power,Progressive power"
3765,"Avenger (Ger)",3,1984,"Germany",1984,"Speed,Heavy"
3766,"Baring Teeth",3,2007,"USA",-,"Progressive death,Technical death"
3767,"Barishi",3,2010,"USA",2010,"Progressive"
3768,"Bastard Sapling",3,2007,"USA",-,"Black"
3769,"Before Eden",3,1998,"Brazil",1998,"Progressive power"
3770,"Before The Harvest",3,2011,"Australia",-,"Symphonic deathcore"
3771,"Beyond The Dust",3,2010,"France",2010,"Progressive,Djent"
3772,"Black Hole Generator",3,2006,"Norway",-,"Industrial black"
3773,"Black Star Riders",3,2012,"USA",2012,"Hard rock"
3774,"Blessed Death",3,1984,"USA",1992,"Thrash,Speed"
3775,"Blind Fury",3,1983,"United Kingdom",1983,"New,Wave,Of british heavy"
3776,"Blockheads",3,1992,"France",-,"Grindcore"
3777,"Bloodmoon",3,2010,"USA",2010,"Progressive sludge,Doom"
3778,"Brothers Of The Sonic Cloth",3,2007,"USA",-,"Doom,Sludge,Stoner"
3779,"Brutart",3,2000,"Slovenia",2000,"Doom"
3780,"Buried At Sea",3,2001,"USA",-,"Drone doom,Sludge"
3781,"By Night",3,1999,"Sweden",1999,"Thrash"
3782,"Calvarium",3,2001,"Finland",-,"Black"
3783,"Cancerous Womb",3,2008,"United Kingdom",2008,"Death,Grindcore"
3784,"Celestial Decay",3,2008,"Sweden",-,"Symphonic power"
3785,"Centimani",3,2006,"USA",2006,"Melodic death,Melodic black"
3786,"Chasse-Galerie",3,2007,"Canada",-,"Black"
3787,"Chemical Breath",3,1990,"Belgium",1990,"Technical death,Thrash"
3788,"Church Bizarre",3,2001,"Denmark",-,"Death,Black"
3789,"Church Of Void",3,2010,"Finland",2010,"Doom"
3790,"Circle Of Dust",3,1988,"USA",-,"Industrial"
3791,"Clairvoyants",3,2001,"Italy",2001,"Heavy"
3792,"Cognizance",3,2012,"United Kingdom",-,"Melodic death,Technical death,Deathcore"
3793,"Collapse 7",3,1992,"Austria",1992,"Melodic death"
3794,"Contrarian",3,2014,"USA",-,"Progressive death"
3795,"Corrupt Moral Altar",3,2012,"United Kingdom",2012,"Grindcore"
3796,"Cowards",3,2011,"France",-,"Black,Sludge,Hardcore"
3797,"Crescent Shield",3,2000,"USA",2000,"Power"
3798,"Crimsonfire",3,1997,"Australia",-,"Power"
3799,"Crowhurst",3,2011,"USA",2011,"Experimental black,Noise"
3800,"Crowned",3,2010,"Australia",-,"Black"
3801,"Cruadalach",3,2008,"Czech Republic",2008,"Folk"
3802,"Curse",3,1995,"Iceland",-,"Black"
3803,"Cyanide Serenity",3,2008,"United Kingdom",2008,"Melodic metalcore"
3804,"Cyclone",3,1980,"Belgium",1993,"Thrash"
3805,"Danse Macabre",3,1995,"The Netherlands",1995,"Gothic"
3806,"Dark Domination",3,1996,"Latvia",-,"Black"
3807,"Dawn Of Winter",3,1990,"Germany",1990,"Doom"
3808,"Dawn On Sedna",3,2013,"Italy",-,"Post-metal"
3809,"De Arma",3,2009,"Sweden",2009,"Black,Post-metal"
3810,"Dead Instrument",3,2007,"Denmark",-,"Grindcore"
3811,"Death Strike",3,1984,"USA",1984,"Death"
3812,"Deathraiser",3,2006,"Brazil",-,"Thrash"
3813,"Decomposed",3,1990,"United Kingdom",1990,"Death,Doom"
3814,"Derkéta",3,1988,"USA",-,"Death doom"
3815,"Desolation Angels",3,1981,"United Kingdom",1981,"New wave of british heavy,Heavy"
3816,"Destroying Divinity",3,2001,"Czech Republic",-,"Death"
3817,"DinUmbr?",3,1998,"Romania",1998,"Death doom,Gothic doom"
3818,"Dissolution",3,2003,"Canada",-,"Melodic death,Technical thrash"
3819,"Dol Theeta",3,2008,"Greece",2008,"Electronic symphonic"
3820,"Down Among The Dead Men",3,2013,"Sweden",-,"Death"
3821,"Duff McKagan's Loaded",3,1999,"USA",1999,"Hard rock"
3822,"Dungortheb",3,1996,"France",-,"Technical death"
3823,"Dynazty",3,2007,"Sweden",2007,"Heavy,Hard rock,Melodic power"
3824,"Dyslesia",3,1986,"France",-,"Melodic power"
3825,"Ecferus",3,2014,"USA",2014,"Black"
3826,"Echo Of Dalriada",3,1998,"Hungary",2006,"Folk"
3827,"Eden Weint Im Grab",3,2004,"Germany",2004,"Gothic"
3828,"Edenfall",3,2009,"United Kingdom",-,"Gothic doom"
3829,"Effloresce",3,2008,"Germany",2008,"Progressive"
3830,"Ellipsis",3,1995,"France",-,"Symphonic progressive"
3831,"Emergency Gate",3,1996,"Germany",1996,"Power"
3832,"Eternal Majesty",3,1995,"France",-,"Black"
3833,"Ethereal Blue",3,2002,"Greece",2002,"Atmospheric death"
3834,"Evidence One",3,2001,"Germany",-,"Melodic hard rock"
3835,"Ewigkeit",3,1994,"United Kingdom",1994,"Black"
3836,"Executer",3,1985,"Brazil",-,"Thrash"
3837,"Exhale",3,2004,"Sweden",2004,"Grindcore"
3838,"Exmortem",3,1992,"Denmark",2010,"Death"
3839,"Face Of Oblivion",3,2009,"USA",2009,"Technical death"
3840,"Falaise",3,2015,"Italy",-,"Atmospheric black,Post-metal"
3841,"Fall Of Empyrean",3,2000,"USA",2000,"Death doom"
3842,"Fate",3,1984,"Denmark",-,"Hard rock"
3843,"Feridea",3,2012,"Finland",2012,"Symphonic,Gothic"
3844,"Feto In Fetus",3,2004,"Poland",-,"Deathgrind"
3845,"Finnugor",3,2001,"Hungary",2001,"Symphonic black,Industrial black"
3846,"Fogland",3,1997,"Romania",-,"Folk,Melodic black"
3847,"Forgive-Me-Not",3,1996,"Russia",1996,"Gothic doom"
3848,"Fright Night",3,2005,"Russia",-,"Gothic rock,Gothic"
3849,"Geïst",3,2005,"Germany",2005,"Black"
3850,"Generation Kill",3,2009,"USA",-,"Crossover thrash"
3851,"Geoff Tate's Queensrÿche",3,2012,"USA",2012,"Progressive"
3852,"Gillan",3,1978,"United Kingdom",1982,"Hard rock"
3853,"Goathemy",3,1995,"Finland",1995,"Melodic black"
3854,"God.Fear.None",3,2004,"Greece",-,"Melodic death,Metalcore"
3855,"Graveshadow",3,2012,"USA",2012,"Symphonic,Gothic"
3856,"Graveyard (ESP)",3,2007,"Spain",-,"Death"
3857,"Griftegård",3,2005,"Sweden",2005,"Doom"
3858,"Grima",3,2014,"Russia",-,"Atmospheric black"
3859,"Grimfist",3,2001,"Norway",2001,"Black,Death"
3860,"Gurd",3,1994,"Switzerland",-,"Thrash"
3861,"Hacavitz",3,2003,"Mexico",2003,"Blackened death,Black"
3862,"Haeres",3,2009,"Canada",-,"Black"
3863,"Hardingrock",3,2005,"Norway",2005,"Folk,Rock"
3864,"Havoc Unit",3,2005,"Finland",2013,"Industrial,Experimental black"
3865,"Hell:On",3,2005,"Ukraine",2005,"Thrash"
3866,"Hellfueled",3,1998,"Sweden",-,"Heavy"
3867,"Hexis",3,2010,"Denmark",2010,"Black,Hardcore"
3868,"High Priest Of Saturn",3,2011,"Norway",-,"Doom,Stoner,Psychedelic rock"
3869,"High Spirits",3,2009,"USA",2009,"Hard rock,Heavy"
3870,"Horizon Ablaze",3,2008,"Norway",-,"Death"
3871,"Houwitser",3,1997,"The Netherlands",1997,"Death"
3872,"Hybris",3,2010,"United Kingdom",-,"Progressive thrash"
3873,"Hyems",3,2000,"Germany",2000,"Melodic black"
3874,"Ian Gillan",3,1982,"United Kingdom",-,"Hard rock,Pop rock,Blues rock"
3875,"Implant Pentru Refuz",3,1995,"Romania",1995,"Hardcore,Metalcore"
3876,"In Twilight's Embrace",3,2005,"Poland",-,"Metalcore,Melodic death,Death"
3877,"Infera Bruo",3,2009,"USA",2009,"Progressive black"
3878,"Inspell",3,2003,"Bulgaria",-,"Symphonic black"
3879,"Iron Hearse",3,2002,"United Kingdom",2002,"Doom"
3880,"Jaded Star",3,2013,"Greece",-,"Melodic power"
3881,"Kenziner",3,1997,"Finland",1997,"Power"
3882,"Kinetik",3,2007,"USA",-,"Industrial,Groove thrash"
3883,"Kowloon Walled City",3,2007,"USA",2007,"Sludge"
3884,"L'Esprit Du Clan",3,1992,"France",-,"Metalcore"
3885,"Last Sacrament",3,2005,"USA",2005,"Death"
3886,"Laster",3,2012,"The Netherlands",-,"Atmospheric black"
3887,"Latitude Egress",3,2007,"Germany",2007,"Black,Funeral doom,Atmospheric doom"
3888,"Lechery",3,2004,"Sweden",-,"Heavy"
3889,"Lefay",3,1997,"Sweden",1997,"Power,Thrash"
3890,"Let Me Dream",3,1989,"Finland",-,"Gothic doom"
3891,"Level 10",3,2014,"nan",2014,"Heavy,Power"
3892,"Lightning",3,2002,"Japan",-,"Heavy,Power"
3893,"Lorn",3,1999,"Italy",1999,"Black"
3894,"Loss",3,2000,"Sweden",-,"Death"
3895,"Lothlöryen",3,2002,"Brazil",2002,"Melodic power,Folk"
3896,"Love Lies Bleeding",3,1996,"France",2008,"Atmospheric black,Doom"
3897,"Magister Templi",3,2008,"Norway",2008,"Hard rock,Heavy,Doom"
3898,"Majster Kat",3,2001,"Slovak Republic",-,"Thrash"
3899,"Makrothumia",3,1994,"Romania",1994,"Death doom,Progressive"
3900,"Mandator",3,1987,"The Netherlands",1993,"Speed,Thrash"
3901,"Manitou",3,1997,"Finland",1997,"Progressive heavy"
3902,"Maveth",3,2007,"Finland",-,"Blackened death"
3903,"Mayze",3,2012,"Germany",2012,"Progressive,Gothic"
3904,"Medico Peste",3,2010,"Poland",-,"Black"
3905,"Mefisto",3,1984,"Sweden",1984,"Black,Death,Thrash"
3906,"Menace",3,2013,"United Kingdom",-,"Progressive,Hard rock"
3907,"Mhorgl",3,2004,"Australia",2004,"Black"
3908,"Middian",3,2005,"USA",2008,"Doom,Sludge"
3909,"Mind Odyssey",3,1993,"Germany",1993,"Progressive"
3910,"Misery Inc.",3,2001,"Finland",2008,"Gothic,Death"
3911,"Morbosidad",3,1993,"USA",1993,"Black,Death"
3912,"Moth",3,2011,"USA",-,"Melodic death,Progressive"
3913,"Mother Witch & Dead Water Ghosts",3,2013,"Ukraine",2013,"Doom,Psychedelic rock"
3914,"Mystic Force",3,1986,"USA",2005,"Us power,Progressive"
3915,"Nachtlieder",3,2008,"Sweden",2008,"Black"
3916,"Necrite",3,2004,"USA",-,"Ambient black,Drone"
3917,"Nevaloth",3,2008,"Slovak Republic",2008,"Atmospheric black"
3918,"Nevolution",3,2004,"Iceland",-,"Melodic death"
3919,"Night Magic",3,2006,"USA",2006,"Doom"
3920,"No-Big-Silence",3,1989,"Estonia",-,"Death,Industrial"
3921,"Noisear",3,1999,"USA",1999,"Grindcore"
3922,"Nonsun",3,2011,"Ukraine",-,"Drone doom,Sludge"
3923,"Norska",3,2009,"USA",2009,"Doom,Sludge"
3924,"Ocean Chief",3,2001,"Sweden",-,"Doom,Sludge,Stoner"
3925,"Oh, Sleeper",3,2006,"USA",2006,"Metalcore"
3926,"Ol Drake",3,2013,"United Kingdom",-,"Heavy,Hard rock"
3927,"Omen (HUN)",3,1990,"Hungary",1990,"Thrash,Speed"
3928,"Omnerod",3,2009,"Belgium",-,"Extreme progressive"
3929,"Ordog",3,2005,"Finland",2005,"Doom"
3930,"Oruga",3,2010,"France",-,"Doom,Sludge,Stoner"
3931,"Ostrogoth",3,1976,"Belgium",1976,"Heavy"
3932,"Over Your Threshold",3,2006,"Germany",-,"Progressive death"
3933,"P.L.F.",3,1999,"USA",1999,"Grindcore"
3934,"Persephone's Dream",3,1993,"USA",-,"Progressive rock,Progressive"
3935,"Perzonal War",3,1996,"Germany",1996,"Power,Thrash"
3936,"Phantom Winter",3,2014,"Germany",-,"Sludge"
3937,"Planks",3,2007,"Germany",2007,"Blackened sludge"
3938,"Plateau Sigma",3,2010,"Italy",-,"Doom"
3939,"Poison Sun",3,2010,"Germany",2010,"Heavy"
3940,"Possession",3,2012,"Belgium",-,"Black,Death"
3941,"Posthum",3,2004,"Norway",2004,"Progressive black"
3942,"Primal Rock Rebellion",3,2011,"United Kingdom",-,"Heavy,Alternative"
3943,"Profusion",3,2001,"Italy",2001,"Progressive,Fusion"
3944,"Prohod",3,2012,"Romania",-,"Atmospheric black,Melodic black"
3945,"Project Pain",3,2011,"The Netherlands",2011,"Thrash"
3946,"Queiron",3,1995,"Brazil",-,"Brutal death"
3947,"Quest Of Aidance",3,2004,"Sweden",2004,"Melodic death,Grindcore"
3948,"Ravager",3,1997,"Mexico",2003,"Brutal death"
3949,"Reasons Behind",3,2010,"Italy",2010,"Symphonic power"
3950,"Rendezvous Point",3,2010,"Norway",-,"Progressive"
3951,"Resurrection Kings",3,2015,"USA",2015,"Hard rock"
3952,"Revolted Masses",3,2008,"Greece",-,"Progressive death,Thrash"
3953,"Rippikoulu",3,1990,"Finland",1990,"Death"
3954,"RoadkillSoda",3,2011,"Romania",-,"Sludge,Stoner"
3955,"Rosae Crucis",3,1990,"Italy",1990,"Heavy"
3956,"Sadness",3,1989,"Switzerland",1998,"Death doom,Gothic doom"
3957,"Samothrace",3,2006,"USA",2006,"Doom,Stoner"
3958,"Sanctimony",3,1994,"Latvia",-,"Death,Death ',N',Roll"
3959,"Saturnalia Temple",3,2006,"Sweden",2006,"Doom,Stoner"
3960,"Sear",3,2001,"Finland",-,"Black,Death"
3961,"Season's End",3,1998,"United Kingdom",1998,"Gothic"
3962,"Sektemtum",3,2009,"France",-,"Black"
3963,"Self-Inflicted Violence",3,2007,"United Kingdom",2007,"Black,Post-rock"
3964,"Sengir",3,1995,"Belgium",2007,"Gothic,Death doom"
3965,"Sepia Dreamer",3,2003,"Sweden",2003,"Progressive"
3966,"Septic Mind",3,2006,"Russia",-,"Funeral doom"
3967,"Sethian",3,1998,"Finland",1998,"Hard rock,Suomi"
3968,"Sexcrement",3,2005,"USA",-,"Death"
3969,"Shadow Host",3,1993,"Russia",1993,"Power,Thrash"
3970,"Shadowdances",3,1995,"Lithuania, United Kingdom",-,"Doom,Melodic death"
3971,"Sheavy",3,1993,"Canada",1993,"Doom,Stoner"
3972,"Shining Fury",3,2001,"Italy",-,"Power"
3973,"Shturm",3,2003,"Russia",2003,"Black,Death"
3974,"Sideburn",3,1997,"Sweden",-,"Stoner"
3975,"Silent Voices",3,1995,"Finland",1995,"Progressive"
3976,"Sinister Realm",3,2008,"USA",-,"Heavy,Doom"
3977,"Skeletal Remains",3,2011,"USA",2011,"Death"
3978,"Smallman",3,2001,"Bulgaria",-,"Folk,Post-metal"
3979,"Smargroth",3,2006,"Slovenia",2006,"Black"
3980,"Sorathian Dawn",3,2009,"Australia",-,"Black,Death"
3981,"Sororicide",3,1990,"Iceland",1990,"Death"
3982,"Sorrow Plagues",3,2014,"United Kingdom",-,"Atmospheric black,Post-rock"
3983,"Soul Takers",3,1998,"Italy",1998,"Progressive"
3984,"Soulfractured",3,1999,"USA",2006,"Progressive"
3985,"Spazmosity",3,1994,"Sweden",1994,"Black,Death"
3986,"Squealer",3,1986,"Germany",-,"Heavy,Power,Thrash"
3987,"Status Abnormis",3,2010,"Finland",2010,"Death,Thrash,Industrial"
3988,"Stigma",3,2000,"Italy",-,"Melodic deathcore"
3989,"Stillborn (POL)",3,1997,"Poland",1997,"Black,Death"
3990,"Stone Gods",3,2006,"United Kingdom",-,"Hard rock,Heavy"
3991,"Sulphur",3,1999,"Norway",1999,"Black,Death"
3992,"Sumerlands",3,2014,"USA",-,"Heavy,Power"
3993,"Svartelder",3,2015,"Norway",2015,"Black"
3994,"Syrens Call",3,1997,"France",-,"Progressive,Symphonic,Power"
3995,"The Crown Of Yamhad",3,2015,"Syria",2015,"Atmospheric folk,Symphonic"
3996,"The Deathtrip",3,2007,"Norway",-,"Black"
3997,"The Enochian",3,2007,"Greece",2007,"Melodic black"
3998,"The Lumberjack Feedback",3,2008,"France",-,"Doom,Sludge"
3999,"The Order Of Israfel",3,2012,"Sweden",2012,"Doom"
4000,"The Ox",3,2012,"Spain",-,"Progressive"
4001,"The Seven Gates",3,2005,"France",2005,"Death"
4002,"The Skull",3,2012,"USA",-,"Doom"
4003,"The Undivine",3,2005,"Finland",2005,"Death,Thrash"
4004,"The Weakening",3,2007,"Sweden",-,"Melodic death,Djent"
4005,"Thornafire",3,1998,"Chile",1998,"Death"
4006,"Thought Machine",3,2009,"Italy",-,"Industrial"
4007,"Throneum",3,1996,"Poland",1996,"Death,Black"
4008,"Thunderbolt",3,2000,"Norway",-,"Heavy"
4009,"Thy Final Pain",3,2007,"Germany",2007,"Death"
4010,"Thy Flesh Consumed",3,2001,"Canada",2010,"Death"
4011,"Thy Primordial",3,1994,"Sweden",1994,"Black"
4012,"Today I Caught The Plague",3,2007,"Canada",2013,"Progressive metalcore,Progressive"
4013,"Tonic Breed",3,2006,"Norway",2006,"Groove thrash"
4014,"Torrens Conscientium",3,2009,"Ukraine",-,"Funeral doom"
4015,"Total Fucking Destruction",3,1999,"USA",1999,"Grindcore"
4016,"Total Negation",3,2007,"Germany",-,"Black"
4017,"Totalt Jävla Mörker",3,1996,"Sweden",1996,"Blackened hardcore,Crust,Punk"
4018,"Transient",3,2008,"USA",-,"Grindcore"
4019,"Triton Enigma",3,2005,"Sweden",2005,"Melodic death,Thrash"
4020,"Tsar Bomba",3,2011,"France",-,"Stoner"
4021,"Tungsten",3,2011,"USA",2011,"Progressive rock,Progressive"
4022,"Unsilence",3,1993,"United Kingdom",-,"Doom"
4023,"Uroboros",3,2012,"Argentina",2012,"Death,Sludge"
4024,"Urskumug",3,2001,"Latvia",-,"Black"
4025,"Vaee Solis",3,2014,"Portugal",2014,"Blackened doom"
4026,"Valborg",3,2002,"Germany",-,"Progressive doom,Death"
4027,"Valhall",3,1987,"Norway",1987,"Black,Doom"
4028,"Valhalla",3,1997,"Spain",2010,"Heavy,Power"
4029,"Vandroya",3,2001,"Brazil",2001,"Progressive power"
4030,"Vanisher",3,2010,"USA",-,"Metalcore"
4031,"Venomous Maximus",3,2010,"USA",2010,"Doom,Heavy"
4032,"Vermiform",3,2010,"USA",-,"Death"
4033,"Verminous",3,2002,"Sweden",2002,"Death"
4034,"Vinterblot",3,2008,"Italy",-,"Melodic death"
4035,"Virus IV",3,2006,"Belgium",2006,"Progressive power,Progressive heavy"
4036,"Viuda Negra",3,1996,"Ecuador",2010,"Progressive"
4037,"Voice Of The Soul",3,2007,"UAE",2007,"Death"
4038,"Vorkreist",3,1999,"France",-,"Black,Death"
4039,"Vulcain",3,1981,"France",1981,"Heavy"
4040,"Waken Eyes",3,2013,"Canada",-,"Progressive rock,Progressive"
4041,"Walk Through Fire",3,2008,"Sweden",2008,"Sludge,Doom"
4042,"War",3,1995,"Sweden",2001,"Black"
4043,"Warhorse",3,1996,"USA",1996,"Doom,Stoner"
4044,"We All Die (Laughing)",3,2013,"France",-,"Avantgarde,Progressive"
4045,"Whales And Aurora",3,2008,"Italy",2008,"Atmospheric sludge"
4046,"Wijlen Wij",3,2002,"Belgium",2014,"Funeral doom"
4047,"WildeStarr",3,2003,"USA",2003,"Heavy"
4048,"Wintersoul",3,2006,"United Kingdom",-,"Black"
4049,"Witheria",3,1999,"Finland",1999,"Thrash"
4050,"Wooden Stake",3,2010,"USA",-,"Death doom"
